frame_index,time_sec,point_count,imu_status,imu_status_label,mapping_confidence
500,50.001364017,19968,0,stable,high
501,50.101365203,20064,0,stable,high
502,50.202175482,19968,0,stable,high
503,50.301561626,19968,0,stable,high
504,50.401784485,20160,0,stable,high
505,50.501746751000006,19872,0,stable,high
506,50.601878113000005,20160,0,stable,high
507,50.701732808,19968,0,stable,high
508,50.801702668,19872,0,stable,high
509,50.902054931,20160,0,stable,high
510,51.002110105,19872,0,stable,high
511,51.101518305000006,19968,0,stable,high
512,51.201785839,20064,0,stable,high
513,51.301884808,19968,0,stable,high
514,51.402471889000005,20064,0,stable,high
515,51.501693632000006,19968,0,stable,high
516,51.601218323000005,19968,0,stable,high
517,51.701661409,19968,0,stable,high
518,51.801833925,20064,0,stable,high
519,51.901802634000006,19968,0,stable,high
520,52.001920605,19968,0,stable,high
521,52.101498359,19968,0,stable,high
522,52.201902588,20064,0,stable,high
523,52.302096391000006,19968,0,stable,high
524,52.401705439,19968,0,stable,high
525,52.501484311000006,20064,0,stable,high
526,52.60184692,19968,0,stable,high
527,52.70153768,19968,0,stable,high
528,52.801606036,20064,0,stable,high
529,52.901955829,19968,0,stable,high
530,53.001630822,20064,0,stable,high
531,53.10227956200001,20160,0,stable,high
532,53.201929933,19776,0,stable,high
533,53.301543786,19968,0,stable,high
534,53.401612143,20064,0,stable,high
535,53.501832027000006,19968,0,stable,high
536,53.603068772,19968,0,stable,high
537,53.701842774000006,20064,0,stable,high
538,53.801663267,19968,0,stable,high
539,53.901839461,20064,0,stable,high
540,54.001784853,19968,0,stable,high
541,54.101756392000006,19968,0,stable,high
542,54.201540246,20064,0,stable,high
543,54.30242341300001,19968,0,stable,high
544,54.401672657000006,19968,0,stable,high
545,54.501835599,20064,0,stable,high
546,54.601852382,19968,0,stable,high
547,54.701614323,19968,0,stable,high
548,54.80184413200001,20064,0,stable,high
549,54.901740399000005,19968,0,stable,high
550,55.001925971000006,19968,0,stable,high
551,55.101777499,20064,0,stable,high
552,55.201681634,19968,0,stable,high
553,55.302274069000006,20160,0,stable,high
554,55.401736191000005,19872,0,stable,high
555,55.50163233200001,19968,0,stable,high
556,55.60213872800001,19968,0,stable,high
557,55.7015979,20064,0,stable,high
558,55.80148565,19872,0,stable,high
559,55.901442980000006,20064,0,stable,high
560,56.002240584000006,19968,0,stable,high
561,56.10145246,20064,0,stable,high
562,56.201595188000006,19968,0,stable,high
